"""","雇用者報酬_(A)","固定資本減耗_(B)","中間投入_(C)","生産・輸入税_(D)","[控除]商品･非商品販売_(E)","自己消費_F=A+B+C+D-E"
"政府サ－ビス生産者総数","287716.0","113875.0","97687.0","438.0","26566.0","473150.0"
"政府サ－ビス生産者総数_1.電気･ｶﾞｽ･水道業","4678.0","14819.0","15076.0","0.0","6310.0","28263.0"
"政府サ－ビス生産者総数_1.電気･ｶﾞｽ･水道業_下水道","770.0","7736.0","9361.0","0.0","5191.0","12676.0"
"政府サ－ビス生産者総数_1.電気･ｶﾞｽ･水道業_廃棄物","3908.0","7083.0","5715.0","0.0","1119.0","15587.0"
"政府サ－ビス生産者総数_2.サ－ビス業","108504.0","3487.0","17849.0","25.0","5862.0","124003.0"
"政府サ－ビス生産者総数_教育","108504.0","3487.0","17849.0","25.0","5862.0","124003.0"
"政府サ－ビス生産者総数_3.公務","174534.0","95569.0","64762.0","413.0","14394.0","320884.0"
"","","","","","",""
"国の県内出先機関","27177.0","31627.0","10666.0","9.0","3071.0","66408.0"
"国の県内出先機関_2.サ－ビス業","7524.0","217.0","2099.0","3.0","2800.0","7043.0"
"国の県内出先機関_2.サ－ビス業_教育","7524.0","217.0","2099.0","3.0","2800.0","7043.0"
"国の県内出先機関_3.公務","19653.0","31410.0","8567.0","6.0","271.0","59365.0"
"","","","","","",""
"和歌山県","163571.0","38036.0","22560.0","175.0","6813.0","217529.0"
"和歌山県_2.サ－ビス業","92242.0","534.0","5016.0","5.0","2718.0","95079.0"
"和歌山県_2.サ－ビス業_教育","92242.0","534.0","5016.0","5.0","2718.0","95079.0"
"和歌山県_3.公務","71329.0","37502.0","17544.0","170.0","4095.0","122450.0"
"","","","","","",""
"県内市町村","96968.0","44212.0","64461.0","254.0","16682.0","189213.0"
"県内市町村_1.電気･ｶﾞｽ･水道業","4678.0","14819.0","15076.0","0.0","6310.0","28263.0"
"県内市町村_1.電気･ｶﾞｽ･水道業_下水道","770.0","7736.0","9361.0","0.0","5191.0","12676.0"
"県内市町村_1.電気･ｶﾞｽ･水道業_廃棄物","3908.0","7083.0","5715.0","0.0","1119.0","15587.0"
"県内市町村_2.サ－ビス業","8738.0","2736.0","10734.0","17.0","344.0","21881.0"
"県内市町村_2.サ－ビス業_教育","8738.0","2736.0","10734.0","17.0","344.0","21881.0"
"県内市町村_3.公務","83552.0","26657.0","38651.0","237.0","10028.0","139069.0"
