"""","雇用者報酬_(A)","固定資本減耗_(B)","中間投入_(C)","生産・輸入税_(D)","[控除]商品･非商品販売_(E)","自己消費_F=A+B+C+D-E"
"政府サ－ビス生産者総数","288803.0","114410.0","96738.0","483.0","27563.0","472871.0"
"政府サ－ビス生産者総数_1.電気･ｶﾞｽ･水道業","2650.0","12465.0","13583.0","0.0","6477.0","22221.0"
"政府サ－ビス生産者総数_1.電気･ｶﾞｽ･水道業_下水道","761.0","7683.0","9112.0","0.0","5534.0","12022.0"
"政府サ－ビス生産者総数_1.電気･ｶﾞｽ･水道業_廃棄物","1889.0","4782.0","4471.0","0.0","943.0","10199.0"
"政府サ－ビス生産者総数_2.サ－ビス業","106232.0","3986.0","17889.0","27.0","5939.0","122195.0"
"政府サ－ビス生産者総数_教育","106232.0","3986.0","17889.0","27.0","5939.0","122195.0"
"政府サ－ビス生産者総数_3.公務","179921.0","97959.0","65266.0","456.0","15147.0","328455.0"
"","","","","","",""
"国の県内出先機関","28197.0","31123.0","10945.0","10.0","3248.0","67027.0"
"国の県内出先機関_2.サ－ビス業","7458.0","265.0","2007.0","3.0","2952.0","6781.0"
"国の県内出先機関_2.サ－ビス業_教育","7458.0","265.0","2007.0","3.0","2952.0","6781.0"
"国の県内出先機関_3.公務","20739.0","30858.0","8938.0","7.0","296.0","60246.0"
"","","","","","",""
"和歌山県","164125.0","39067.0","21767.0","193.0","7147.0","218005.0"
"和歌山県_2.サ－ビス業","90436.0","782.0","4736.0","5.0","2661.0","93298.0"
"和歌山県_2.サ－ビス業_教育","90436.0","782.0","4736.0","5.0","2661.0","93298.0"
"和歌山県_3.公務","73689.0","38285.0","17031.0","188.0","4486.0","124707.0"
"","","","","","",""
"県内市町村","96481.0","44220.0","64026.0","280.0","17168.0","187839.0"
"県内市町村_1.電気･ｶﾞｽ･水道業","2650.0","12465.0","13583.0","0.0","6477.0","22221.0"
"県内市町村_1.電気･ｶﾞｽ･水道業_下水道","761.0","7683.0","9112.0","0.0","5534.0","12022.0"
"県内市町村_1.電気･ｶﾞｽ･水道業_廃棄物","1889.0","4782.0","4471.0","0.0","943.0","10199.0"
"県内市町村_2.サ－ビス業","8338.0","2939.0","11146.0","19.0","326.0","22116.0"
"県内市町村_2.サ－ビス業_教育","8338.0","2939.0","11146.0","19.0","326.0","22116.0"
"県内市町村_3.公務","85493.0","28816.0","39297.0","261.0","10365.0","143502.0"
